libtype,libtype2,libtype3
1035,8,8,3203
1036,8,8,3205
1037,8,8,3207
1038,8,8,3208
1039,8,8,3209
1040,8,8,3211
1041,8,8,3212
1042,8,8,3214
1043,8,8,3215
1044,8,8,3217
1045,8,8,3218
1046,8,8,3219
1047,8,8,3220
1048,8,8,3221
1049,8,8,3222
1050,8,8,3227
1051,8,8,3231
1052,8,8,3232
1053,8,8,3233
1054,8,8,3234
1055,8,8,3235
1056,8,8,3236
1057,8,8,3238
1058,8,8,3239
1059,8,8,3241
1060,8,8,3242
1061,8,8,3243
1062,8,8,3244
1063,8,8,3245
1064,8,8,3249
1065,8,8,3250
1066,8,8,3251
1067,8,8,3254
1068,8,8,3255
1069,8,8,3256
1070,8,8,3260
1071,8,8,3261
1072,8,8,3262
1073,8,8,3263
1074,8,8,3264
1075,8,8,3265
1076,8,8,3267
1077,8,8,3269
1078,8,8,3271
1079,8,8,3273
1080,8,8,3274
1081,8,8,3275
1082,8,8,3276
1083,8,8,3277
1084,8,8,3280
1085,8,8,3282
1086,8,8,3283
1087,8,8,3284
1088,8,8,3285
1089,8,8,3286
1090,8,8,3287
1091,8,8,3288
1092,8,8,3289
1093,8,8,3290
1094,8,8,3291
1095,8,8,3292
1096,8,8,3293
1097,8,8,3294
1098,8,8,3295
1099,8,8,3296
1100,8,8,3297
1101,8,8,3299
1102,8,8,3300
1103,8,8,3301
1104,8,8,3302
1105,8,8,3303
1106,8,8,3304
1107,8,8,3305
1108,8,8,3306
1109,8,8,3307
1110,8,8,3308
1111,8,8,3309
1112,8,8,3310
1113,8,8,3311
1114,8,8,3312
1115,8,8,3313
1116,8,8,3314
1117,8,8,3315
1118,8,8,3316
1119,8,8,3317
1120,8,8,3318
1121,8,8,3319
1122,8,8,3320
1123,8,8,3321
1124,8,8,3322
1125,8,8,3323
1126,8,8,3325
1127,8,8,3326
1128,8,8,3327
1129,8,8,3328
1130,8,8,3329
1131,8,8,3330
1132,8,8,3331
1133,8,8,3332
1134,8,8,3333
1135,8,8,3334
1136,8,8,3335
1137,8,8,3336
1138,8,8,3337
1139,8,8,3338
1140,8,8,3339
1141,8,8,3340
1142,8,8,3341
1143,8,8,3342
1144,8,8,3343
1145,8,8,3344
1146,8,8,3345
1147,8,8,3346
